,Address,District_Name,Type,address,latitude,longitude,type
412,,praha 5,school,Pod radnicí 315/5 Košíře 150 00 Praha 5,50.070662497085806,14.382010499019055,B00
415,,praha 5,school,Trávníčkova 1743/2 Stodůlky 155 00 Praha 5,50.04363688037396,14.319592123521172,B00
419,,praha 5,school,Vlachova 1502/20 Stodůlky 155 00 Praha 5,50.04902366887881,14.309374566218338,B00
424,,praha 5,school,V úvalu 175/1 Motol 150 00 Praha 5,50.07439208021236,14.347452126636922,B00
428,,praha 5,school,Výmolova 169/2 Radlice 150 00 Praha 5,50.056604998903474,14.392782889000964,B00
429,,praha 5,school,Výmolova 169/2 Radlice 150 00 Praha 5,50.056604998903474,14.392782889000964,C00
436,,praha 5,school,Na Zlíchově 254/19 Hlubočepy 152 00 Praha 5,50.04710791479598,14.40821120272392,B00
440,,praha 6,school,Vokovická 32/3 Vokovice 160 00 Praha 6,50.09632552039935,14.346528528709213,B00
442,,praha 6,school,Rooseveltova 169/8 Bubeneč 160 00 Praha 6,50.10470314683471,14.40338181611755,B00
443,,praha 6,school,Pod Marjánkou 1900/2 Břevnov 169 00 Praha 6,50.085149321686124,14.375794678458117,C00
447,,praha 6,school,U boroviček 648/1 Řepy 163 00 Praha 6,50.07461007187382,14.324356682266343,B00
450,,praha 8,school,Budínova 67/2 Libeň 180 00 Praha 8,50.115626488458815,14.464079999999996,B00
453,,praha 8,school,Libčická 399/8 Čimice 181 00 Praha 8,50.140309652778654,14.435244932829402,B00
457,,praha 8,school,Dolákova 555/1 Bohnice 181 00 Praha 8,50.132764686104174,14.404161944428845,B00
461,,praha 8,school,Ústavní 91/7 Bohnice 181 00 Praha 8,50.13331846378896,14.423962091176627,B00
465,,praha 9,school,Bártlova 83/1 Horní Počernice 193 00 Praha 9,50.11831471911273,14.63134592509672,B00
469,,praha 10,school,Práčská 159/37 Záběhlice 106 00 Praha 10,50.053270431040374,14.500573784349902,B00
472,,praha 4,school,Křejpského 1501/12 Chodov 149 00 Praha 4,50.02806975021634,14.515441579865634,B00
473,,praha 4,school,Křejpského 1501/12 Chodov 149 00 Praha 4,50.02806975021634,14.515441579865634,C00
477,,praha 10,school,Chotouňská 476/1 Malešice 108 00 Praha 10,50.0835404690691,14.4967699546137,B00
478,,praha 10,school,Chotouňská 476/1 Malešice 108 00 Praha 10,50.0835404690691,14.4967699546137,C00
482,,praha 10,school,Vachkova 941/13 Uhříněves 104 00 Praha 10,50.0361990133302,14.594764436176261,B00
