,District_Name,Type,latitude,longitude
949,praha 4,school,50.03347040940029,14.53174805092622
953,praha 4,school,50.01244429447746,14.423052964077423
956,praha 4,school,50.0095385836748,14.424250791794405
1040,praha 5,school,50.045171354146255,14.328498350914932
1043,praha 5,school,50.04263786900567,14.3315199473421
1046,praha 5,school,50.04362985094361,14.319584116884748
1050,praha 5,school,49.98033150011557,14.35852563436989
1052,praha 5,school,50.075175236482124,14.400590875410968
1056,praha 5,school,50.04385358338634,14.33398191574828
1060,praha 5,school,50.02819446266379,14.36962166134833
1066,praha 5,school,50.07308564556529,14.39474298335158
1069,praha 5,school,50.02973651794651,14.308591203069716
1072,praha 5,school,50.03861869331753,14.343318493392228
1075,praha 5,school,50.05261619871322,14.344553418287116
1078,praha 5,school,50.04932534165276,14.367868811125883
1083,praha 5,school,50.073530586704564,14.356161748687143
1087,praha 5,school,50.07606344936226,14.406656548012032
1093,praha 5,school,50.02041723400062,14.355005115153983
1097,praha 5,school,49.9607874893242,14.356898413266777
1100,praha 5,school,50.07300699030515,14.378303657077828
1104,praha 5,school,50.059609469069095,14.393186509002378
1108,praha 5,school,49.974372838190334,14.394168204685839
1111,praha 5,school,50.05052367138898,14.31230263855349
1115,praha 5,school,50.06592019900168,14.398931892578984
1118,praha 5,school,50.01214331115454,14.38153447183905
1121,praha 5,school,50.069131576173,14.366941281435734
1126,praha 5,school,50.05236869248079,14.369436320964994
1131,praha 5,school,50.036596224594206,14.37849628368608
1134,praha 5,school,50.05025534722134,14.320936488199022
1137,praha 5,school,50.04895156506449,14.34719439078997
1141,praha 5,school,50.035083561169344,14.33886221885275
1145,praha 5,school,50.05910957949121,14.288222775751569
1148,praha 5,school,49.97576970384909,14.39525682154191
1205,praha 6,school,50.12538352510254,14.37128696710719
1208,praha 6,school,50.064082679987315,14.304880450804548
1212,praha 6,school,50.14011043767682,14.37920354922413
1217,praha 6,school,50.095049917594615,14.352804775317956
1223,praha 6,school,50.10524090536094,14.387311781839763
1228,praha 6,school,50.09558981652159,14.360267115471089
1231,praha 6,school,50.090114125194624,14.343975053551965
1236,praha 6,school,50.08319022069909,14.316365323648043
1240,praha 6,school,50.10685715404808,14.397863674014719
1245,praha 6,school,50.10089580183506,14.400623372612342
1250,praha 6,school,50.101084634197,14.400294401061768
1254,praha 6,school,50.09155074271453,14.377258258930247
1258,praha 6,school,50.085149321686124,14.375794678458117
1262,praha 6,school,50.10495526311385,14.37622041367081
1267,praha 6,school,50.08781881320336,14.348597107276776
1273,praha 6,school,50.08692611573089,14.367206202031438
1276,praha 6,school,50.091379584251726,14.308220990362468
1280,praha 6,school,50.110970424403945,14.330422769923194
1283,praha 6,school,50.084691317791,14.375327448237075
1287,praha 6,school,50.069140522072765,14.305730999768855
1305,praha 7,school,50.102643226758595,14.427582400513495
1309,praha 7,school,50.10054854177961,14.419830702896807
1312,praha 7,school,50.099039161261416,14.43504539272321
1316,praha 7,school,50.09720956341971,14.430811121991983
1321,praha 7,school,50.10182746378897,14.447529471550583
1325,praha 7,school,50.10821276827842,14.448408818512139
1328,praha 7,school,50.11721428893753,14.422965459749593
1372,praha 8,school,50.13161108327078,14.46921226037256
1377,praha 8,school,50.132764686104174,14.404161944428845
1381,praha 8,school,50.12762200943508,14.42694089641589
1386,praha 8,school,50.13258034860633,14.422370280195903
1390,praha 8,school,50.14004873659769,14.436905485284809
1395,praha 8,school,50.093141773241406,14.458336779214017
1400,praha 8,school,50.12349852452562,14.445881674995654
1404,praha 8,school,50.10265564224706,14.474535264239044
1408,praha 8,school,50.14566156448756,14.442940267008998
1412,praha 8,school,50.12912736720348,14.413227890337339
1417,praha 8,school,50.1479834995673,14.48378952844942
1422,praha 8,school,50.123471300046035,14.459465598938255
1427,praha 8,school,50.094103758237786,14.461644393848392
1430,praha 8,school,50.10741998473656,14.472408251889776
1434,praha 8,school,50.13248345325738,14.468885639044418
1438,praha 8,school,50.12851085178033,14.443706683305527
1443,praha 8,school,50.125418761556,14.478156433406312
1447,praha 8,educatioanal center,50.090910831525214,14.448687804749248
1507,praha 9,school,50.10218540022503,14.535300821022291
1510,praha 9,school,50.0980004851406,14.546100389260767
1514,praha 9,school,50.10452256174627,14.583082761728882
1518,praha 9,school,50.13093171769891,14.509474956027345
1521,praha 9,school,50.1463540885509,14.581524678313878
1525,praha 9,school,50.10682426836533,14.605677906803235
1529,praha 9,school,50.110856843181985,14.618874737549975
1533,praha 9,school,50.11085611962604,14.593476369265456
1537,praha 9,school,50.13409440997721,14.545136348029422
1540,praha 9,school,50.138229618876224,14.506501283945898
1542,praha 9,school,50.08887707161402,14.582675950170309
1545,praha 9,school,50.08043346823237,14.617078196318628
1548,praha 9,school,50.095478682757275,14.669163635350825
1551,praha 9,school,50.105031580616384,14.559274680968267
1554,praha 9,school,50.15079540605341,14.526599225748981
1559,praha 9,school,50.059551353309516,14.640349407005726
1562,praha 9,school,50.12749146047074,14.497863223151928
1565,praha 9,school,50.12104018122806,14.486812119481817
1568,praha 9,school,50.119296108517524,14.49193001304176
1572,praha 9,school,50.10591339078998,14.483395460326523
1575,praha 9,school,50.10995107048884,14.504544271452403
1578,praha 9,school,50.10649868140287,14.571575227134304
1581,praha 9,school,50.10476638856829,14.549799918950939
1584,praha 9,school,50.07826096892487,14.654822077356409
1588,praha 9,school,50.11135578377299,14.615396648219676
1592,praha 9,school,50.124929009694874,14.573893103093193
1596,praha 9,school,50.1352915100989,14.511176418950939
1598,praha 9,educatioanal center,50.11087069386579,14.616954398551611
1668,praha 10,school,50.07454250346244,14.500831562727225
1671,praha 10,school,50.06423933666111,14.511159229268761
1673,praha 10,school,50.07101962724343,14.45706487745978
1675,praha 10,school,50.07971549070918,14.49425295195838
1678,praha 10,school,50.07070048600596,14.506269610883484
1680,praha 10,school,50.05871101301309,14.50795898462098
1682,praha 10,school,50.072272576173,14.472623812799316
1684,praha 10,school,50.06917672491228,14.474475532633027
1686,praha 10,school,50.07072611573089,14.467067756420102
1689,praha 10,school,50.066801999999996,14.448038218968303
